X,Y,Z,xc,yc
0,0,80,1178,220
20,0,80,1079,246
40,0,80,970,278
60,0,80,854,314
80,0,80,732,352
0,20,80,1254,265
20,20,80,1154,291
40,20,80,1042,324
60,20,80,924,361
80,20,80,796,409
0,40,80,1342,314
20,40,80,1237,343
40,40,80,1126,379
60,40,80,1004,422
80,40,80,871,475
0,60,80,1435,371
20,60,80,1332,401
40,60,80,1217,444
60,60,80,1091,488
80,60,80,956,546
0,80,80,1541,432
20,80,80,1435,473
40,80,80,1320,518
60,80,80,1193,573
80,80,80,1052,629
80,0,60,742,475
80,20,60,802,536
80,40,60,875,606
80,60,60,956,681
80,80,60,1052,760
0,80,60,1519,555
20,80,60,1420,599
40,80,60,1311,651
60,80,60,1188,707
80,0,40,755,584
80,20,40,813,649
80,40,40,885,720
80,60,40,959,802
80,80,40,1054,881
0,80,40,1500,667
20,80,40,1405,712
40,80,40,1297,767
60,80,40,1183,825
80,0,20,769,686
80,20,20,825,752
80,40,20,893,823
80,60,20,968,904
80,80,20,1052,987
0,80,20,1480,767
20,80,20,1389,816
40,80,20,1286,871
60,80,20,1175,929
80,0,0,781,780
80,20,0,840,844
80,40,0,902,915
80,60,0,976,996
80,80,0,1054,1079
0,80,0,1463,856
20,80,0,1369,906
40,80,0,1271,961
60,80,0,1170,1020
